,MapID,YouTubeID,HTML,YouTubeTitle,Date,time,PD,BlogTitle,BlogID,Mode,Title,Artist,Difficulty,Mods,Beatmap by,SiteURL,YouTubeURL,BlogURL
Yes,525849,OnmT4U0jbg0,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FOnmT4U0jbg0'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/OnmT4U0jbg0' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : PUPA</p>
<p>Artist : Morimori Atsushi</p>
<p>Beatmap by : Cherry Blossom</p>
<p><a href='https://osu.ppy.sh/b/525849' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=525849&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Kenterz's Another</p>
<p>Mods : None</p>",[osu!] Morimori Atsushi - PUPA [Kenterz's Another],,,,Morimori Atsushi - PUPA [Kenterz's Another],133726366933,osu!,PUPA,Morimori Atsushi,Kenterz's Another,None,Cherry Blossom,http://osu.ppy.sh/b/525849,https://youtu.be/OnmT4U0jbg0,http://osu.ppn.pw/post/133726366933
Yes,114716,v0T7cqVWGH4,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2Fv0T7cqVWGH4'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/v0T7cqVWGH4' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Frightfully-insane Flan-chan's frightful song</p>
<p>Artist : Nanahira</p>
<p>Beatmap by : Sherry</p>
<p><a href='https://osu.ppy.sh/b/114716' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=114716&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Insane</p>
<p>Mods : None</p>",[osu!] Nanahira - Frightfully-insane Flan-chan's frightful song [Insane],,,,Nanahira - Frightfully-insane Flan-chan's frightful song [Insane],133726537148,osu!,Frightfully-insane Flan-chan's frightful song,Nanahira,Insane,None,Sherry,http://osu.ppy.sh/b/114716,https://youtu.be/v0T7cqVWGH4,http://osu.ppn.pw/post/133726537148
Yes,134621,FIfhGMal2tk,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FFIfhGMal2tk'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/FIfhGMal2tk' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Tobidase! Sweet Sweet Magic*</p>
<p>Artist : Nanahira</p>
<p>Beatmap by : cRyo[iceeicee]</p>
<p><a href='https://osu.ppy.sh/b/134621' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=134621&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Insane</p>
<p>Mods : None</p>",[osu!] Nanahira - Tobidase! Sweet Sweet Magic* [Insane],,,,Nanahira - Tobidase! Sweet Sweet Magic* [Insane],133727086428,osu!,Tobidase! Sweet Sweet Magic*,Nanahira,Insane,None,cRyo[iceeicee],http://osu.ppy.sh/b/134621,https://youtu.be/FIfhGMal2tk,http://osu.ppn.pw/post/133727086428
Yes,207846,lzeG2-tMmpA,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FlzeG2-tMmpA'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/lzeG2-tMmpA' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Sweet Sweet Cendrillon Drug</p>
<p>Artist : MuryokuP</p>
<p>Beatmap by : Smoothie</p>
<p><a href='https://osu.ppy.sh/b/207846' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=207846&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Cendrillon</p>
<p>Mods : None</p>",[osu!] MuryokuP - Sweet Sweet Cendrillon Drug [Cendrillon],,,,MuryokuP - Sweet Sweet Cendrillon Drug [Cendrillon],133727495918,osu!,Sweet Sweet Cendrillon Drug,MuryokuP,Cendrillon,None,Smoothie,http://osu.ppy.sh/b/207846,https://youtu.be/lzeG2-tMmpA,http://osu.ppn.pw/post/133727495918
Yes,529285,9cv-hNK1h3s,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2F9cv-hNK1h3s'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/9cv-hNK1h3s' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Evanescent</p>
<p>Artist : LeaF</p>
<p>Beatmap by : -AvicennaNM</p>
<p><a href='https://osu.ppy.sh/b/529285' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=529285&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Aspire</p>
<p>Mods : None</p>",[osu!] LeaF - Evanescent [Aspire],,,,LeaF - Evanescent [Aspire],133730296203,osu!,Evanescent,LeaF,Aspire,None,-AvicennaNM,http://osu.ppy.sh/b/529285,https://youtu.be/9cv-hNK1h3s,http://osu.ppn.pw/post/133730296203
Yes,618699,93Z5lFxxCrI,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2F93Z5lFxxCrI'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/93Z5lFxxCrI' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : AOI-IRO STEP</p>
<p>Artist : meiko</p>
<p>Beatmap by : Natsu</p>
<p><a href='https://osu.ppy.sh/b/618699' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=618699&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Insane</p>
<p>Mods : None</p>",[osu!] meiko - AOI-IRO STEP [Insane],,,,meiko - AOI-IRO STEP [Insane],133730522153,osu!,AOI-IRO STEP,meiko,Insane,None,Natsu,http://osu.ppy.sh/b/618699,https://youtu.be/93Z5lFxxCrI,http://osu.ppn.pw/post/133730522153
Yes,308352,z3_ltcJHkhs,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2Fz3_ltcJHkhs'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/z3_ltcJHkhs' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Kyoukai no Kanata (TV Size)</p>
<p>Artist : Minori Chihara</p>
<p>Beatmap by : popner</p>
<p><a href='https://osu.ppy.sh/b/308352' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=308352&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Insane</p>
<p>Mods : None</p>",[osu!] Minori Chihara - Kyoukai no Kanata (TV Size) [Insane],,,,Minori Chihara - Kyoukai no Kanata (TV Size) [Insane],133730624228,osu!,Kyoukai no Kanata (TV Size),Minori Chihara,Insane,None,popner,http://osu.ppy.sh/b/308352,https://youtu.be/z3_ltcJHkhs,http://osu.ppn.pw/post/133730624228
Yes,409808,tZ4fpbukNpQ,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FtZ4fpbukNpQ'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/tZ4fpbukNpQ' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Natsu ga Kuru yo</p>
<p>Artist : mintea</p>
<p>Beatmap by : Kyubey</p>
<p><a href='https://osu.ppy.sh/b/409808' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=409808&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Insane</p>
<p>Mods : None</p>",[osu!] mintea - Natsu ga Kuru yo [Insane],,,,mintea - Natsu ga Kuru yo [Insane],133730852033,osu!,Natsu ga Kuru yo,mintea,Insane,None,Kyubey,http://osu.ppy.sh/b/409808,https://youtu.be/tZ4fpbukNpQ,http://osu.ppn.pw/post/133730852033
Yes,403050,4rDJHxjCAJ8,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2F4rDJHxjCAJ8'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/4rDJHxjCAJ8' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Fallen Angel (El Poco Maro Remix)</p>
<p>Artist : Mitsunori Ikeda ft. Aimee B</p>
<p>Beatmap by : galvenize</p>
<p><a href='https://osu.ppy.sh/b/403050' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=403050&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Ascension</p>
<p>Mods : None</p>",[osu!] Mitsunori Ikeda ft. Aimee B - Fallen Angel (El Poco Maro Remix) [Ascension],,,,Mitsunori Ikeda ft. Aimee B - Fallen Angel (El Poco Maro Remix) [Ascension],133730994928,osu!,Fallen Angel (El Poco Maro Remix),Mitsunori Ikeda ft. Aimee B,Ascension,None,galvenize,http://osu.ppy.sh/b/403050,https://youtu.be/4rDJHxjCAJ8,http://osu.ppn.pw/post/133730994928
Yes,523376,BsGiN1VMCSI,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FBsGiN1VMCSI'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/BsGiN1VMCSI' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : PUPA</p>
<p>Artist : Morimori Atsushi</p>
<p>Beatmap by : Cherry Blossom</p>
<p><a href='https://osu.ppy.sh/b/523376' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=523376&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Butterfly</p>
<p>Mods : None</p>",[osu!] Morimori Atsushi - PUPA [Butterfly],,,,Morimori Atsushi - PUPA [Butterfly],133731139323,osu!,PUPA,Morimori Atsushi,Butterfly,None,Cherry Blossom,http://osu.ppy.sh/b/523376,https://youtu.be/BsGiN1VMCSI,http://osu.ppn.pw/post/133731139323
