,MapID,YouTubeID,HTML,YouTubeTitle,Date,time,PD,BlogTitle,BlogID,Mode,Title,Artist,Difficulty,Mods,Beatmap by,SiteURL,YouTubeURL,BlogURL
Yes,333074,kJA4lL3KBW8,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FkJA4lL3KBW8'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/kJA4lL3KBW8' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Monosugoi Ikioide Keine ga Monosugoi Uta</p>
<p>Artist : Nanahira</p>
<p>Beatmap by : kamisamaaa</p>
<p><a href='https://osu.ppy.sh/b/333074' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=333074&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Lunatic</p>
<p>Mods : None</p>",[osu!] Nanahira - Monosugoi Ikioide Keine ga Monosugoi Uta [Lunatic],,,,Nanahira - Monosugoi Ikioide Keine ga Monosugoi Uta [Lunatic],133731906338,osu!,Monosugoi Ikioide Keine ga Monosugoi Uta,Nanahira,Lunatic,None,kamisamaaa,http://osu.ppy.sh/b/333074,https://youtu.be/kJA4lL3KBW8,http://osu.ppn.pw/post/133731906338
Yes,509510,-5JMwZmwz7o,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2F-5JMwZmwz7o'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/-5JMwZmwz7o' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Hanairo Biyori</p>
<p>Artist : Natsume Chiaki</p>
<p>Beatmap by : rinsukir</p>
<p><a href='https://osu.ppy.sh/b/509510' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=509510&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Insane</p>
<p>Mods : None</p>",[osu!] Natsume Chiaki - Hanairo Biyori [Insane],,,,Natsume Chiaki - Hanairo Biyori [Insane],133732030208,osu!,Hanairo Biyori,Natsume Chiaki,Insane,None,rinsukir,http://osu.ppy.sh/b/509510,https://youtu.be/-5JMwZmwz7o,http://osu.ppn.pw/post/133732030208
Yes,274085,L2C-dPXr-VM,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FL2C-dPXr-VM'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/L2C-dPXr-VM' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Natsukoi Hanabi</p>
<p>Artist : Shano x 40mP</p>
<p>Beatmap by : DevilA1r</p>
<p><a href='https://osu.ppy.sh/b/274085' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=274085&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Insane</p>
<p>Mods : DT</p>",[osu!] Shano x 40mP - Natsukoi Hanabi [Insane],,,,Shano x 40mP - Natsukoi Hanabi [Insane],134166413393,osu!,Natsukoi Hanabi,Shano x 40mP,Insane,DT,DevilA1r,http://osu.ppy.sh/b/274085,https://youtu.be/L2C-dPXr-VM,http://osu.ppn.pw/post/134166413393
Yes,557821,YGpB2d8ATZs,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FYGpB2d8ATZs'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/YGpB2d8ATZs' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Renatus</p>
<p>Artist : Soleily</p>
<p>Beatmap by : Multiple Creators</p>
<p><a href='https://osu.ppy.sh/b/557821' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=557821&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Insane</p>
<p>Mods : None</p>",[osu!] Soleily - Renatus [Insane],,,,Soleily - Renatus [Insane],134166974863,osu!,Renatus,Soleily,Insane,None,Multiple Creators,http://osu.ppy.sh/b/557821,https://youtu.be/YGpB2d8ATZs,http://osu.ppn.pw/post/134166974863
Yes,746296,WwxgCy0j3dQ,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FWwxgCy0j3dQ'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/WwxgCy0j3dQ' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Colorful.(AnimeVer.)</p>
<p>Artist : Sawai Miku</p>
<p>Beatmap by : -Sh1n1-</p>
<p><a href='https://osu.ppy.sh/b/746296' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=746296&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Chris' Dreams</p>
<p>Mods : None</p>",[osu!] Sawai Miku - Colorful.(AnimeVer.) [Chris' Dreams],,,,Sawai Miku - Colorful.(AnimeVer.) [Chris' Dreams],134167112853,osu!,Colorful.(AnimeVer.),Sawai Miku,Chris' Dreams,None,-Sh1n1-,http://osu.ppy.sh/b/746296,https://youtu.be/WwxgCy0j3dQ,http://osu.ppn.pw/post/134167112853
Yes,544671,szumHY9F2eA,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FszumHY9F2eA'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/szumHY9F2eA' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : SeventH-HeaveN feat. Hatsune Miku</p>
<p>Artist : sasakure.UK</p>
<p>Beatmap by : Yauxo</p>
<p><a href='https://osu.ppy.sh/b/544671' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=544671&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Another</p>
<p>Mods : None</p>",[osu!] sasakure.UK - SeventH-HeaveN feat. Hatsune Miku [Another],,,,sasakure.UK - SeventH-HeaveN feat. Hatsune Miku [Another],134167217433,osu!,SeventH-HeaveN feat. Hatsune Miku,sasakure.UK,Another,None,Yauxo,http://osu.ppy.sh/b/544671,https://youtu.be/szumHY9F2eA,http://osu.ppn.pw/post/134167217433
Yes,754990,cA0L_oMKezY,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FcA0L_oMKezY'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/cA0L_oMKezY' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Streaming Heart</p>
<p>Artist : Reol</p>
<p>Beatmap by : sukiNathan</p>
<p><a href='https://osu.ppy.sh/b/754990' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=754990&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Insane</p>
<p>Mods : None</p>",[osu!] Reol - Streaming Heart [Insane],,,,Reol - Streaming Heart [Insane],134167286178,osu!,Streaming Heart,Reol,Insane,None,sukiNathan,http://osu.ppy.sh/b/754990,https://youtu.be/cA0L_oMKezY,http://osu.ppn.pw/post/134167286178
Yes,705092,3kLrIJ_leJ8,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2F3kLrIJ_leJ8'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/3kLrIJ_leJ8' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : No title</p>
<p>Artist : Reol</p>
<p>Beatmap by : marikokkokokko</p>
<p><a href='https://osu.ppy.sh/b/705092' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=705092&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Collab</p>
<p>Mods : None</p>",[osu!] Reol - No title [Collab],,,,Reol - No title [Collab],134167371973,osu!,No title,Reol,Collab,None,marikokkokokko,http://osu.ppy.sh/b/705092,https://youtu.be/3kLrIJ_leJ8,http://osu.ppn.pw/post/134167371973
Yes,263382,cvgfRRA_tnQ,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FcvgfRRA_tnQ'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/cvgfRRA_tnQ' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : I Love My Internet Friends</p>
<p>Artist : Renard</p>
<p>Beatmap by : P o M u T a</p>
<p><a href='https://osu.ppy.sh/b/263382' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=263382&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Insane</p>
<p>Mods : None</p>",[osu!] Renard - I Love My Internet Friends [Insane],,,,Renard - I Love My Internet Friends [Insane],134167456848,osu!,I Love My Internet Friends,Renard,Insane,None,P o M u T a,http://osu.ppy.sh/b/263382,https://youtu.be/cvgfRRA_tnQ,http://osu.ppn.pw/post/134167456848
Yes,163250,reWI65gG9eU,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FreWI65gG9eU'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/reWI65gG9eU' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : CONNECT r</p>
<p>Artist : remixed celas vs 44teru-k</p>
<p>Beatmap by : Muya</p>
<p><a href='https://osu.ppy.sh/b/163250' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=163250&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Another</p>
<p>Mods : None</p>",[osu!] remixed celas vs 44teru-k - CONNECT r [Another],,,,remixed celas vs 44teru-k - CONNECT r [Another],134167523523,osu!,CONNECT r,remixed celas vs 44teru-k,Another,None,Muya,http://osu.ppy.sh/b/163250,https://youtu.be/reWI65gG9eU,http://osu.ppn.pw/post/134167523523
Yes,482159,s1JimmfFbDs,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2Fs1JimmfFbDs'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/s1JimmfFbDs' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Acceleration</p>
<p>Artist : REDALiCE</p>
<p>Beatmap by : Leader</p>
<p><a href='https://osu.ppy.sh/b/482159' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=482159&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : EXPERT</p>
<p>Mods : None</p>",[osu!] REDALiCE - Acceleration [EXPERT],,,,REDALiCE - Acceleration [EXPERT],134167598228,osu!,Acceleration,REDALiCE,EXPERT,None,Leader,http://osu.ppy.sh/b/482159,https://youtu.be/s1JimmfFbDs,http://osu.ppn.pw/post/134167598228
Yes,404823,QVif6znW4ZA,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FQVif6znW4ZA'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/QVif6znW4ZA' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Watercolour (Radio Edit)</p>
<p>Artist : Pendulum</p>
<p>Beatmap by : AlexaBM</p>
<p><a href='https://osu.ppy.sh/b/404823' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=404823&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Insane</p>
<p>Mods : None</p>",[osu!] Pendulum - Watercolour (Radio Edit) [Insane],,,,Pendulum - Watercolour (Radio Edit) [Insane],134167670883,osu!,Watercolour (Radio Edit),Pendulum,Insane,None,AlexaBM,http://osu.ppy.sh/b/404823,https://youtu.be/QVif6znW4ZA,http://osu.ppn.pw/post/134167670883
Yes,396554,abf8FwOYrxQ,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2Fabf8FwOYrxQ'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/abf8FwOYrxQ' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : White Eternity</p>
<p>Artist : Nitta Emi</p>
<p>Beatmap by : Flower</p>
<p><a href='https://osu.ppy.sh/b/396554' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=396554&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Insane</p>
<p>Mods : None</p>",[osu!] Nitta Emi - White Eternity [Insane],,,,Nitta Emi - White Eternity [Insane],134167747403,osu!,White Eternity,Nitta Emi,Insane,None,Flower,http://osu.ppy.sh/b/396554,https://youtu.be/abf8FwOYrxQ,http://osu.ppn.pw/post/134167747403
Yes,291996,khg4QhNAwAs,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2Fkhg4QhNAwAs'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/khg4QhNAwAs' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Rainbow after snow</p>
<p>Artist : Nekomata Master feat. Hayashi Momoko</p>
<p>Beatmap by : Damnae</p>
<p><a href='https://osu.ppy.sh/b/291996' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=291996&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Insane</p>
<p>Mods : None</p>",[osu!] Nekomata Master feat. Hayashi Momoko - Rainbow after snow [Insane],,,,Nekomata Master feat. Hayashi Momoko - Rainbow after snow [Insane],134167832883,osu!,Rainbow after snow,Nekomata Master feat. Hayashi Momoko,Insane,None,Damnae,http://osu.ppy.sh/b/291996,https://youtu.be/khg4QhNAwAs,http://osu.ppn.pw/post/134167832883
Yes,166350,IT1sqWEjybk,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FIT1sqWEjybk'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/IT1sqWEjybk' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Stark Raving Mad</p>
<p>Artist : NegaRen</p>
<p>Beatmap by : vipto</p>
<p><a href='https://osu.ppy.sh/b/166350' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=166350&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Raving Mad</p>
<p>Mods : None</p>",[osu!] NegaRen - Stark Raving Mad [Raving Mad],,,,NegaRen - Stark Raving Mad [Raving Mad],134167923783,osu!,Stark Raving Mad,NegaRen,Raving Mad,None,vipto,http://osu.ppy.sh/b/166350,https://youtu.be/IT1sqWEjybk,http://osu.ppn.pw/post/134167923783
Yes,507728,1x973-9BZhY,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2F1x973-9BZhY'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/1x973-9BZhY' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Hanairo Biyori</p>
<p>Artist : Natsume Chiaki</p>
<p>Beatmap by : rinsukir</p>
<p><a href='https://osu.ppy.sh/b/507728' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=507728&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : wkyik's Insane</p>
<p>Mods : None</p>",[osu!] Natsume Chiaki - Hanairo Biyori [wkyik's Insane],,,,Natsume Chiaki - Hanairo Biyori [wkyik's Insane],134167993293,osu!,Hanairo Biyori,Natsume Chiaki,wkyik's Insane,None,rinsukir,http://osu.ppy.sh/b/507728,https://youtu.be/1x973-9BZhY,http://osu.ppn.pw/post/134167993293
Yes,780020,GaotzFThDR8,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FGaotzFThDR8'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/GaotzFThDR8' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : glacia</p>
<p>Artist : DJ TOTTO</p>
<p>Beatmap by : Kloyd</p>
<p><a href='https://osu.ppy.sh/b/780020' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=780020&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Momoko's Insane</p>
<p>Mods : None</p>",[osu!] DJ TOTTO - glacia [Momoko's Insane],,,,DJ TOTTO - glacia [Momoko's Insane],134610840152,osu!,glacia,DJ TOTTO,Momoko's Insane,None,Kloyd,http://osu.ppy.sh/b/780020,https://youtu.be/GaotzFThDR8,http://osu.ppn.pw/post/134610840152
Yes,715345,7gNrF2xUi-s,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2F7gNrF2xUi-s'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/7gNrF2xUi-s' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Leia</p>
<p>Artist : Nico Nico Chorus</p>
<p>Beatmap by : Natteke</p>
<p><a href='https://osu.ppy.sh/b/715345' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=715345&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Collab</p>
<p>Mods : None</p>",[osu!] Nico Nico Chorus - Leia [Collab],,,,Nico Nico Chorus - Leia [Collab],134592911288,osu!,Leia,Nico Nico Chorus,Collab,None,Natteke,http://osu.ppy.sh/b/715345,https://youtu.be/7gNrF2xUi-s,http://osu.ppn.pw/post/134592911288
Yes,715345,4EwEgOi8S8I,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2F4EwEgOi8S8I'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/4EwEgOi8S8I' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Starving Days</p>
<p>Artist : Memme</p>
<p>Beatmap by : Gamu</p>
<p><a href='https://osu.ppy.sh/b/715345' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=715345&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Another</p>
<p>Mods : None</p>",[osu!] Memme - Starving Days [Another],,,,Memme - Starving Days [Another],134592983623,osu!,Starving Days,Memme,Another,None,Gamu,http://osu.ppy.sh/b/715345,https://youtu.be/4EwEgOi8S8I,http://osu.ppn.pw/post/134592983623
Yes,389698,H3zagb7Iek0,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FH3zagb7Iek0'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/H3zagb7Iek0' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Element of SPADA</p>
<p>Artist : Nekomata Master feat. Shimotsuki Haruka</p>
<p>Beatmap by : Frey</p>
<p><a href='https://osu.ppy.sh/b/389698' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=389698&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Another</p>
<p>Mods : None</p>",[osu!] Nekomata Master feat. Shimotsuki Haruka - Element of SPADA [Another],,,,Nekomata Master feat. Shimotsuki Haruka - Element of SPADA [Another],134593088393,osu!,Element of SPADA,Nekomata Master feat. Shimotsuki Haruka,Another,None,Frey,http://osu.ppy.sh/b/389698,https://youtu.be/H3zagb7Iek0,http://osu.ppn.pw/post/134593088393
Yes,552068,l4CnybPOg9c,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2Fl4CnybPOg9c'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/l4CnybPOg9c' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Everything will freeze</p>
<p>Artist : UNDEAD CORPORATION</p>
<p>Beatmap by : Ekoro</p>
<p><a href='https://osu.ppy.sh/b/552068' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=552068&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Extra</p>
<p>Mods : None</p>",[osu!] UNDEAD CORPORATION - Everything will freeze [Extra],,,,UNDEAD CORPORATION - Everything will freeze [Extra],134593142288,osu!,Everything will freeze,UNDEAD CORPORATION,Extra,None,Ekoro,http://osu.ppy.sh/b/552068,https://youtu.be/l4CnybPOg9c,http://osu.ppn.pw/post/134593142288
Yes,399221,MvYXcQ1qD1w,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FMvYXcQ1qD1w'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/MvYXcQ1qD1w' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Dead</p>
<p>Artist : Stan SB</p>
<p>Beatmap by : ProfessionalBox</p>
<p><a href='https://osu.ppy.sh/b/399221' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=399221&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Rebirth</p>
<p>Mods : None</p>",[osu!] Stan SB - Dead [Rebirth],,,,Stan SB - Dead [Rebirth],134593219343,osu!,Dead,Stan SB,Rebirth,None,ProfessionalBox,http://osu.ppy.sh/b/399221,https://youtu.be/MvYXcQ1qD1w,http://osu.ppn.pw/post/134593219343
Yes,622287,aINsUWPhOW8,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FaINsUWPhOW8'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/aINsUWPhOW8' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Flashlight (Radio Edit)</p>
<p>Artist : DJ Fresh (feat. Ellie Goulding)</p>
<p>Beatmap by : Frey</p>
<p><a href='https://osu.ppy.sh/b/622287' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=622287&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Insane</p>
<p>Mods : None</p>",[osu!] DJ Fresh (feat. Ellie Goulding) - Flashlight (Radio Edit) [Insane],,,,DJ Fresh (feat. Ellie Goulding) - Flashlight (Radio Edit) [Insane],134593389208,osu!,Flashlight (Radio Edit),DJ Fresh (feat. Ellie Goulding),Insane,None,Frey,http://osu.ppy.sh/b/622287,https://youtu.be/aINsUWPhOW8,http://osu.ppn.pw/post/134593389208
Yes,607723,l-mY0c6cPJc,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2Fl-mY0c6cPJc'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/l-mY0c6cPJc' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Gimme! Revolution</p>
<p>Artist : Uchida Maaya</p>
<p>Beatmap by : -Chata-</p>
<p><a href='https://osu.ppy.sh/b/607723' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=607723&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Insane</p>
<p>Mods : None</p>",[osu!] Uchida Maaya - Gimme! Revolution [Insane],,,,Uchida Maaya - Gimme! Revolution [Insane],134593600873,osu!,Gimme! Revolution,Uchida Maaya,Insane,None,-Chata-,http://osu.ppy.sh/b/607723,https://youtu.be/l-mY0c6cPJc,http://osu.ppn.pw/post/134593600873
Yes,655589,J2F1qNNxTP4,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FJ2F1qNNxTP4'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/J2F1qNNxTP4' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : HappyDays*</p>
<p>Artist : Nonohara Yuzuko(CV:Okubo Rumi)</p>
<p>Beatmap by : Setz</p>
<p><a href='https://osu.ppy.sh/b/655589' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=655589&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : kakifly's Insane</p>
<p>Mods : None</p>",[osu!] Nonohara Yuzuko(CV:Okubo Rumi) - HappyDays* [kakifly's Insane],,,,Nonohara Yuzuko(CV:Okubo Rumi) - HappyDays* [kakifly's Insane],134593689238,osu!,HappyDays*,Nonohara Yuzuko(CV:Okubo Rumi),kakifly's Insane,None,Setz,http://osu.ppy.sh/b/655589,https://youtu.be/J2F1qNNxTP4,http://osu.ppn.pw/post/134593689238
Yes,239016,xeKDnH9O3Js,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FxeKDnH9O3Js'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/xeKDnH9O3Js' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Innocence</p>
<p>Artist : Aoba Ringo</p>
<p>Beatmap by : Kitsuneko</p>
<p><a href='https://osu.ppy.sh/b/239016' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=239016&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Insane</p>
<p>Mods : None</p>",[osu!] Aoba Ringo - Innocence [Insane],,,,Aoba Ringo - Innocence [Insane],134593763778,osu!,Innocence,Aoba Ringo,Insane,None,Kitsuneko,http://osu.ppy.sh/b/239016,https://youtu.be/xeKDnH9O3Js,http://osu.ppn.pw/post/134593763778
